plantid	sites	rate
A0276:250415873	17780	0.0553297691584772
A0279:250415874	19289	0.0600256421427371
A0280:250415875	20787	0.0646872841112072
A0284:250415876	13930	0.0433489136320353
A0286:250415877	17321	0.0539014022268832
A0287:250415878	15782	0.0491121719268328
A0290:250415879	13611	0.0423562141741301
A0291:250415880	13237	0.0411923596372757
A0297:250415881	14139	0.0439993029320421
A0300:250415882	16309	0.0507521487742184
A0301:250415883	0	0
A0302:250415884	21553	0.0670710075743902
A0303:250415885	16294	0.0507054701163232
A0305:250415886	17655	0.0549407803426836
A0311:250415887	17843	0.0555258195216371
A0312:250415888	14904	0.0463799144846987
A0313:250415889	14265	0.044391403658362
A0315:250415890	12854	0.0400004979056842
A0318:250415891	14333	0.0446030135741537
A0320:250415892	19191	0.059720674911155
A0321:250415893	19789	0.0615815974059114
A0323:250415894	18806	0.0585225893585108
A0324:250415895	10238	0.0318597399687564
A0325:250415896	13608	0.042346878442551
A0328:250441883	13646	0.0424651310425523
A0329:250415897	16025	0.0498683661847355
A0330:250415898	22877	0.0711911771112757
A0331:250415899	22622	0.0703976399270568
A0332:250415900	16461	0.0512251591742234
A0335:250415901	16273	0.0506401199952699
A0336:250441875	13515	0.0420574707636006
A0337:250415902	18312	0.0569853055584946
A0342:250415903	14427	0.0448955331636305
A0343:250441876	13124	0.0408407137477983
A0345:250415904	15974	0.0497096587478917
A0347:250415905	17688	0.0550434733900531
A0348:250415906	22086	0.068729655884934
A0349:250415907	21485	0.0668593976585985
A0350:250415908	22457	0.0698841746902093
A0351:250415909	15639	0.0486671687215649
A0352:250415910	59	0.000183602721054564
A0353:250441877	20788	0.0646903960217336
A0354:250415911	17321	0.0539014022268832
A0355:250415912	18093	0.0563037971532242
A0356:250415913	13820	0.0430066034741369
A0358:250415914	18049	0.0561668730900649
A0359:250415915	17021	0.0529678290689786
A0360:250415916	16445	0.0511753686058018
A0361:250415917	16679	0.0519035556689674
A0362:250415918	21304	0.0662961418533294
A0363:250415919	11300	0.0351645889477386
A0365:250415920	13337	0.0415035506899106
A0372:250415921	18800	0.0585039178953527
A0375:250415922	16127	0.050185781058423
A0377:250415923	24209	0.075336241932372
A0378:250415924	17853	0.0555569386269006
A0379:250415925	17720	0.0551430545268962
A0380:250415926	12930	0.0402370031056867
A0384:250415927	11746	0.03655250104249
A0385:250415928	17075	0.0531358722374014
A0387:250415929	16822	0.0523485588742353
A0389:250415930	13417	0.0417525035320184
A0392:250415962	12193	0.0379435250477678
A0393:250415963	14705	0.0457606442899554
A0395:250415964	8993	0.0279854113634525
A0397:250415965	11743	0.036543165310911
A0399:250415966	15713	0.0488974501005147
A0402:250415967	10167	0.0316387943213857
A0404:250415968	16094	0.0500830880110535
A0405:250441878	19538	0.0608005078637979
A0406:250415969	19811	0.0616500594374911
A0407:250415970	15574	0.0484648945373523
A0414:250415971	12724	0.0395959495372589
A0415:250415972	13347	0.041534669795174
A0416:250415973	10619	0.0330453778792952
A0417:250415974	9877	0.0307363402687446
A0420:250415975	13349	0.0415408936162267
A0422:250415976	11068	0.0344426257056257
A0423:250415977	15274	0.0475313213794477
A0426:250415978	16115	0.0501484381321068
A0429:250415979	18736	0.0583047556216664
A0433:250415981	13705	0.0426487337636068
A0434:250415982	10141	0.0315578846477006
A0435:250415983	15318	0.047668245442607
A0439:250415984	11709	0.0364373603530151
A0444:250415985	11364	0.0353637512214249
A0449:250415986	16595	0.0516421551847541
A0450:250415987	13807	0.0429661486372944
A0451:250415989	6919	0.0215313089318056
A0452:250415990	14607	0.0454556770583732
A0453:250415991	14387	0.0447710567425765
A0454:250415992	5598	0.0174204751264992
A0455:250415993	13195	0.0410616593951691
A0456:250415994	18133	0.0564282735742782
A0458:250415995	10856	0.0337829006740398
A0459:250415996	13144	0.0409029519583253
A0461:250415997	12208	0.0379902037056631
A0462:250415998	7767	0.0241702090581492
A0463:250415999	9225	0.0287073746055653
A0464:250416000	10911	0.033954055752989
A0465:250416001	14318	0.0445563349162585
A0466:250416002	11130	0.0346355641582593
A0468:250416003	12670	0.0394279063688361
A0470:250416004	14689	0.0457108537215338
A0471:250416005	9145	0.0284584217634575
A0473:250416006	11813	0.0367609990477554
A0474:250416007	10114	0.0314738630634892
A0475:250416008	8158	0.0253869660739514
A0476:250416009	12270	0.0381831421582967
A0477:250416010	8876	0.0276213178318697
A0481:250416011	11777	0.0366489702688068
A0483:250416012	10771	0.0335183882793002
A0484:250416013	9957	0.0309852931108525
A0485:250416014	14055	0.0437379024478288
A0486:250416015	9971	0.0310288598582214
A0487:250416016	11000	0.034231015789834
A0488:250416017	8548	0.0266006111792274
A0490:250416018	8654	0.0269304736950203
A0493:250416019	11849	0.0368730278267039
A0494:250416020	15054	0.046846701063651
A0495:250416021	10907	0.0339416081108836
A0496:250416022	12278	0.0382080374425075
A0500:250416023	9437	0.0293670996371512
A0503:250416024	9139	0.0284397503002994
A0505:250416025	9664	0.0300735033266324
A0506:250416026	14949	0.0465199504583844
A0508:250416027	10651	0.0331449590161384
A0511:250416028	13355	0.0415595650793848
A0512:250416029	12113	0.0376945722056599
A0513:250416030	7737	0.0240768517423587
A0516:250416031	10158	0.0316107871266485
A0517:250416032	9299	0.0289376559845151
A0518:250416033	10864	0.0338077959582506
A0520:250416034	13851	0.0431030727004537
A0524:250416035	13847	0.0430906250583483
A0525:250416036	12004	0.037355373958288
A0528:250416037	10066	0.0313244913582245
A0529:250416038	13047	0.0406010966372695
A0530:250416039	13444	0.0418365251162299
A0531:250416040	10017	0.0311720077424334
A0532:250416041	10231	0.031837956595072
A0533:250416042	12991	0.040426829647794
A0534:250416043	8035	0.0250042010792106
A0535:250416044	11613	0.0361386169424857
A0536:250416045	13642	0.0424526834004469
A0537:250416046	11197	0.0348440621635247
A0538:250416047	9668	0.0300859509687377
A0539:250416048	12623	0.0392816465740977
A0541:250416049	8600	0.0267624305265975
A0544:250416050	14953	0.0465323981004898
A0546:250416051	12476	0.0388241957267245
A0547:250416052	15402	0.0479296459268203
A0548:250416053	8310	0.0258599764739564
A0550:250416054	8578	0.0266939684950178
A0551:250416055	11346	0.0353077368319506
A0552:250416056	13463	0.0418956514162305
A0553:250416057	8964	0.0278951659581884
A0555:250416089	31456	0.0978882575168199
A0556:250416090	34541	0.107488501490605
A0557:250416091	27618	0.0859447449166942
A0560:250416092	29057	0.0904227841641097
A0561:250416093	31314	0.0974463662220784
A0564:250416094	27598	0.0858825067061672
A0566:250416095	25566	0.0795591045166269
A0569:250416096	22590	0.0702980587902137
A0571:250416097	26022	0.0809781357166419
A0572:250416098	28082	0.0873886714009199
A0573:250416099	24161	0.0751868702271072
A0574:250416100	24728	0.0769513234955469
A0575:250416101	23137	0.0720002738481263
A0576:250441879	17337	0.0539511927953047
A0577:250416102	25866	0.0804926776745315
A0580:250416103	19632	0.0610930274532747
A0584:250416104	26238	0.0816503083903332
A0585:250416105	27122	0.0844012372956253
A0586:250416106	29780	0.0926726954746597
A0588:250416107	25639	0.0797862739850504
A0594:250416108	23471	0.0730396519639267
A0596:250416109	20666	0.0643107429375191
A0597:250416110	22119	0.0688323489323035
A0599:250416111	21126	0.0657422217796394
A0601:250416112	20608	0.0641302521269908
A0602:250416113	31010	0.0965003454220684
A0603:250416114	27883	0.0867694012061765
A0605:250416116	13267	0.0412857169530662
A0606:250416117	25776	0.0802126057271601
A0609:250416118	26606	0.0827954914640294
A0610:250416119	20722	0.0644850099269946
A0615:250416120	19329	0.0601501185637911
A0621:250416121	26281	0.0817841205429661
A0624:250416122	19949	0.0620795030901271
A0627:250416124	23004	0.071586389748122
A0629:250416125	23851	0.0742221779639392
A0631:250416126	23492	0.0731050020849801
A0632:250416127	21674	0.0674475487480784
A0633:250416128	26845	0.0835392380798267
A0634:250416129	16719	0.0520280320900213
A0636:250416130	20556	0.0639684327796207
A0640:250416131	24308	0.0756443210744805
A0642:250416132	5455	0.0169754719212313
A0643:250416133	17924	0.0557778842742713
A0644:250416134	22892	0.0712378557691709
A0646:250416135	17456	0.0543215101479402
A0647:250416136	21157	0.0658386910059562
A0650:250416137	17879	0.0556378483005857
A0651:250416138	25593	0.0796431261008383
A0655:250416139	20775	0.064649941184891
A0656:250416140	19118	0.0594935054427315
A0658:250416141	17919	0.0557623247216396
A0661:250416142	20242	0.0629912928743473
A0663:250416143	17825	0.0554698051321628
A0666:250416144	19114	0.0594810578006261
A0668:250416145	22528	0.0701051203375801
A0669:250416146	22729	0.0707306143533761
A0673:250416147	25981	0.0808505473850616
A0674:250416148	22523	0.0700895607849483
A0675:250416149	20914	0.0650824967480535
A0677:250416150	20021	0.0623035606480242
A0678:250416151	17534	0.0545642391689954
A0680:250416152	22231	0.0691808829112545
A0684:250416153	31128	0.0968675508641776
A0687:250416154	18955	0.0589862640269367
A0689:250416155	23646	0.0735842363060377
A0691:250416156	21835	0.0679485663428205
A0692:250416157	17344	0.0539729761689892
A0694:250416158	22226	0.0691653233586228
A0696:250416159	21732	0.0676280395586066
A0697:250416160	17419	0.0542063694584653
A0698:250416161	28312	0.08810441082198
A0699:250416162	24543	0.0763756200481724
A0700:250416163	20076	0.0624747157269734
A0701:250416164	18692	0.058167831558507
A0702:250416165	21723	0.0676000323638695
A0703:250416166	23080	0.0718228949481245
A0704:250416167	21304	0.0662961418533294
A0705:250416168	19673	0.061220615784855
A0706:250416169	19730	0.0613979946848568
A0707:250416170	17514	0.0545020009584684
A0708:250416171	23290	0.0724763961586576
A0710:250416172	23810	0.0740945896323589
A0712:250416173	20880	0.0649766917901577
A0713:250416174	23509	0.073157904563928
A0724:250416175	15555	0.0484057682373516
A0727:250416176	17903	0.055712534153218
A0728:250416177	29622	0.0921810136114966
A0738:250416178	21687	0.0674880035849209
A0740:250416179	22328	0.0694827382323103
A0741:250416180	18700	0.0581927268427178
A0743:250416181	19797	0.0616064926901222
A0744:250416182	21816	0.0678894400428199
A0752:250416183	24138	0.0751152962850012
A0756:250416184	15655	0.0487169592899865
A0757:250416216	10182	0.0316854729792809
A0762:250416217	15013	0.0467191127320707
A0767:250416218	10287	0.0320122235845475
A0768:250416219	9566	0.0297685360950502
A0771:250416220	11475	0.0357091732898496
A0772:250416221	9109	0.0283463929845089
A0774:250416222	9874	0.0307270045371655
A0775:250416223	11116	0.0345919974108904
A0776:250416224	7885	0.0245374145002583
A0777:250416225	15013	0.0467191127320707
A0778:250416226	11984	0.037293135747761
A0783:250416227	12686	0.0394776969372577
A0784:250441880	12998	0.0404486130214784
A0785:250416228	10733	0.0334001356792989
A0786:250416229	12924	0.0402183316425286
A0787:250416230	7845	0.0244129380792043
A0788:250416231	12258	0.0381457992319805
A0790:250416232	21134	0.0657671170638502
A0792:250416233	10353	0.0322176096792865
A0793:250416234	12534	0.0390046865372527
A0796:250441881	14317	0.0445532230057321
A0798:250416235	13171	0.0409869735425367
A0799:250416236	10179	0.0316761372477019
A0801:250441882	12578	0.039141610600412
A0802:250416237	13005	0.0404703963951628
A0803:250416238	9912	0.0308452571371668
A0812:250416239	10072	0.0313431628213826
A0815:250416240	15758	0.0490374860742004
A0818:250416241	10812	0.0336459766108805
A0819:250416242	12444	0.0387246145898813
A0820:250416243	8217	0.025570568795006
A0821:250416244	13767	0.0428416722162404
A0822:250416245	13358	0.0415689008109639
A0824:250416246	11058	0.0344115066003622
A0825:250416247	10258	0.0319219781792834
A0853:250416264	15623	0.0486173781531433
A0856:250416265	15172	0.0472139065057601
A0859:250416266	15232	0.0474006211373411
A0861:250416267	11078	0.0344737448108892
A0862:250416268	11654	0.036266205274066
A0863:250416269	12049	0.0374954099319736
A0864:250416270	9521	0.0296285001213645
A0865:250416271	9761	0.0303753586476882
A0866:250416272	11680	0.036347114947751
A0867:250416273	12250	0.0381209039477697
A0870:250416274	14959	0.0465510695636479
A0871:250416275	12621	0.039275422753045
A0872:250416276	11794	0.0367018727477548
A0873:250416277	11256	0.0350276648845792
A0874:250416278	11431	0.0355722492266902
A0876:250416279	11652	0.0362599814530133
A0877:250416280	16108	0.0501266547584224
A0880:250416281	7452	0.0231899572423494
A0882:250416282	11642	0.0362288623477498
A0883:250416283	9524	0.0296378358529436
A0884:250416284	9644	0.0300112651161054
A0885:250416285	10863	0.0338046840477243
A0886:250416286	11786	0.036676977463544
A0887:250416287	9024	0.0280818805897693
A0890:250416288	13986	0.0435231806215108
A0891:250416289	15531	0.0483310823847193
A0892:250416290	11485	0.0357402923951131
A0894:250416291	9981	0.0310599789634848
A0895:250416292	12316	0.0383262900425087
A0896:250416293	13222	0.0411456809793805
A0897:250416294	11885	0.0369850566056525
A0898:250416295	11941	0.037159323595128
A0899:250416296	9378	0.0291834969160967
A0900:250416297	10650	0.033141847105612
A0902:250416298	11277	0.0350930150056326
A0903:250416299	9549	0.0297156336161023
A0904:250416300	12105	0.0376696769214492
A0905:250416301	11297	0.0351552532161595
A0907:250416302	9993	0.031097321889801
A0908:250416303	12686	0.0394776969372577
A0909:250416304	13948	0.0434049280215095
A0910:250416305	10327	0.0321367000056014
A0911:250416306	15856	0.0493424533057826
A0912:250416307	10511	0.0327092915424496
A0913:250416308	5782	0.0179930666633473
A0918:250416309	10403	0.0323732052056039
A0920:250416310	11147	0.0346884666372072
A0921:250416311	9372	0.0291648254529386
A0924:250416343	16743	0.0521027179426537
A0925:250416344	14444	0.0449484356425784
A0926:250416345	14393	0.0447897282057346
A0928:250416346	13683	0.0425802717320272
A0930:250441884	16632	0.051757295874229
A0932:250416347	15377	0.0478518481636616
A0933:250416348	12530	0.0389922388951473
A0934:250416349	14160	0.0440646530530954
A0935:250416350	16747	0.0521151655847591
A0936:250416351	17225	0.0536026588163537
A0938:250416352	17186	0.0534812943058261
A0939:250416353	17675	0.0550030185532106
A0940:250416354	19034	0.0592321049585182
A0941:250416355	22946	0.0714058989375937
A0942:250416356	13424	0.0417742869057029
A0944:250416357	12259	0.0381489111425068
A0945:250416358	16343	0.0508579537321143
A0949:250416359	17461	0.054337069700572
A0952:250416360	21867	0.0680481474796637
A0953:250416361	16621	0.0517230648584392
A0954:250416362	13070	0.0406726705793755
A0955:250416363	15656	0.0487200712005128
A0956:250416364	15994	0.0497718969584187
A0958:250416365	16442	0.0511660328742228
A0959:250416366	18049	0.0561668730900649
A0960:250416367	19041	0.0592538883322027
A0961:250416368	16683	0.0519160033110728
A0964:250416369	13855	0.0431155203425591
A0965:250416370	7739	0.0240830755634114
A0966:250416371	18179	0.0565714214584902
A0967:250416372	17851	0.0555507148058479
A0968:250416373	13206	0.0410958904109589
A0970:250416374	16154	0.0502698026426344
A0971:250416375	19883	0.0618741169953881
A0974:250416376	14927	0.0464514884268048
A0975:250416377	14990	0.0466475387899647
A0976:250416378	14746	0.0458882326215357
A0978:250416379	10739	0.033418807142457
A0979:250416380	13167	0.0409745259004313
A0980:250416381	11727	0.0364933747424894
A0981:250416382	20436	0.0635950035164589
A0982:250416383	12386	0.0385441237793531
A0986:250416384	9218	0.0286855912318809
A0988:250416386	12883	0.0400907433109483
A0990:250416387	13200	0.0410772189478008
A0992:250416388	13112	0.0408033708214821
A0993:250416389	11601	0.0361012740161695
A0994:250416390	13965	0.0434578305004574
A0995:250416391	15010	0.0467097770004917
A0997:250416392	14221	0.0442544795952027
A0999:250416394	15369	0.0478269528794508
A1000:250416395	22709	0.0706683761428491
A1001:250416396	15627	0.0486298257952487
A1002:250416397	14159	0.0440615411425691
A1003:250441885	18676	0.0581180409900855
A1007:250416398	15530	0.0483279704741929
A1008:250416399	14227	0.0442731510583608
A1011:250416400	14288	0.044462977600468
A1012:250416401	17789	0.0553577763532143
A1013:250416402	15803	0.0491775220478861
A1014:250416403	11863	0.0369165945740728
A1015:250416404	14064	0.043765909642566
A1018:250416405	8187	0.0254772114792155
A1021:250416406	17409	0.0541752503532018
A1023:250416407	17460	0.0543339577900456
A1024:250416408	8385	0.0260933697634326
A1025:250416409	13705	0.0426487337636068
A1026:250416410	10412	0.0324012124003411
A1027:250416411	10788	0.0335712907582481
A1028:250416412	13436	0.0418116298320191
A1029:250416413	10960	0.0341065393687801
A1030:250416414	15275	0.047534433289974
A1031:250416415	12252	0.0381271277688224
A1032:250416416	13174	0.0409963092741158
A1034:250416417	12584	0.0391602820635701
A1035:250416418	14002	0.0435729711899323
A1037:250416419	15572	0.0484586707162996
A1040:250416420	15045	0.0468186938689139
A1041:250416421	14338	0.0446185731267855
A1043:250416422	14507	0.0451444860057384
A1044:250416423	10401	0.0323669813845512
A1045:250416424	18376	0.0571844678321809
A1047:250416425	13064	0.0406539991162174
A1048:250416426	14665	0.0456361678689014
A1049:250416427	14613	0.0454743485215313
A1050:250416428	11490	0.0357558519477448
A1051:250416429	14493	0.0451009192583695
A1052:250416430	13546	0.0421539399899174
A1053:250416431	16107	0.050123542847896
A1055:250416432	11889	0.0369975042477579
A1058:250416433	15951	0.0496380848057857
A1059:250416434	12675	0.0394434659214678
A1060:250416435	9453	0.0294168902055728
A1061:250416436	16094	0.0500830880110535
A1062:250416437	17454	0.0543152863268875
A1063:250416438	9182	0.0285735624529324
A1064:250416470	11979	0.0372775761951292
A1065:250416471	17299	0.0538329401953035
A1066:250416472	12479	0.0388335314583035
A1067:250416473	11671	0.0363191077530139
A1068:250416474	19631	0.0610899155427483
A1069:250416475	13545	0.0421508280793911
A1070:250416476	15133	0.0470925419952326
A1071:250416477	24166	0.075202429779739
A1072:250416478	19574	0.0609125366427464
A1075:250416479	19292	0.0600349778743162
A1076:250416480	17538	0.0545766868111008
A1077:250416481	16657	0.0518350936373877
A1078:250416482	13801	0.0429474771741363
A1083:250416483	12600	0.0392100726319917
A1088:250416484	13925	0.0433333540794035
A1089:250416485	47721	0.148503482227879
A1090:250416486	24141	0.0751246320165803
A1091:250416487	21549	0.0670585599322848
A1092:250416488	26560	0.0826523435798174
A1093:250416489	15926	0.049560287042627
A1095:250416490	12608	0.0392349679162025
A1096:250416491	15977	0.0497189944794707
A1097:250416492	16168	0.0503133693900033
A1098:250416493	15726	0.0489379049373572
A1099:250416494	24890	0.0774554530008153
A1101:250416495	24032	0.0747854337692083
A1102:250416496	14013	0.0436072022057222
A1103:250416497	8824	0.0274594984844996
A1104:250416498	18974	0.0590453903269373
A1105:250416499	29236	0.0909798161483261
A1106:250416500	17516	0.0545082247795211
A1107:250416501	35030	0.10901022573799
A1108:250416502	25744	0.080113024590317
A1110:250416503	18267	0.0568452695848089
A1112:250416504	17070	0.0531203126847697
A1113:250416505	16583	0.0516048122584379
A1114:250416506	14830	0.0461496331057489
A1115:250416507	14184	0.0441393389057278
A1116:250416508	18795	0.0584883583427209
A1117:250416509	25743	0.0801099126797906
A1118:250416510	17946	0.055846346305851
A1119:250416511	18866	0.0587093039900917
A1120:250416512	20636	0.0642173856217286
A1126:250416513	13214	0.0411207856951697
A1129:250416514	14213	0.0442295843109919
A1132:250416515	14545	0.0452627386057396
A1135:250416516	12849	0.0399849383530525
A1136:250416517	15770	0.0490748290005166
A1145:250416518	20252	0.0630224119796108
A1146:250416519	23894	0.0743559901165722
A1149:250416521	20687	0.0643760930585724
A1151:250416522	24683	0.0768112875218612
A1152:250416523	14844	0.0461931998531178
A1153:250416524	20965	0.0652412041848973
A1156:250416525	16745	0.0521089417637064
A1157:250416526	19159	0.0596210937743118
A1160:250416527	18261	0.0568265981216508
A1163:250416529	22077	0.0687016486901969
A1164:250416530	18913	0.0588555637848301
A1166:250416531	12680	0.0394590254740996
A1167:250416532	14347	0.0446465803215226
A1172:250416533	17172	0.0534377275584572
A1174:250416534	27643	0.0860225426798529
A1176:250416535	9946	0.0309510620950626
A1177:250416537	13840	0.0430688416846639
A1183:250416536	20746	0.0645596957796269
A1184:250416538	13179	0.0410118688267475
A1189:250416539	17151	0.0533723774374039
A1190:250416540	20075	0.0624716038164471
A1191:250416541	20900	0.0650389300006846
A1193:250441886	20613	0.0641458116796226
A1194:250416542	22502	0.070024210663895
A1201:250416543	19030	0.0592196573164128
A1202:250416544	14467	0.0450200095846844
A1203:250416545	14778	0.0459878137583788
A1204:250416546	14676	0.0456703988846913
A1206:250416547	16687	0.0519284509531782
A1210:250416548	16544	0.0514834477479104
A1216:250416549	16262	0.0506058889794801
A1219:250416550	20131	0.0626458708059226
A1220:250416551	13566	0.0422161782004444
A1221:250416552	13641	0.0424495714899205
A1224:250416553	20358	0.0633522744954037
A1226:250416554	17614	0.0548131920111033
A1227:250416555	16035	0.0498994852899989
A1229:250416556	19381	0.0603119379111612
A1230:250416557	19944	0.0620639435374954
A1231:250416558	22993	0.0715521587323321
A1233:250416559	15704	0.0488694429057776
A1238:250416560	17793	0.0553702239953197
A1239:250416561	17083	0.0531607675216122
A1240:250416562	11365	0.0353668631319512
A1245:250416563	15990	0.0497594493163133
A1246:250416564	14376	0.0447368257267867
A1248:250416565	16552	0.0515083430321211
A1249:250416597	19128	0.059524624547995
A1251:250416598	16369	0.0509388634057994
A1253:250416599	10771	0.0335183882793002
A1256:250416600	14564	0.0453218649057402
A1257:250416601	15628	0.0486329377057751
A1258:250416602	14536	0.0452347314110025
A1259:250416603	16342	0.0508548418215879
A1260:250416604	17971	0.0559241440690097
A1263:250416605	14847	0.0462025355846969
A1265:250416606	18362	0.057140901084812
A1267:250416607	17468	0.0543588530742564
A1270:250416608	18089	0.0562913495111189
A1273:250416609	13894	0.0432368848530867
A1274:250416610	14652	0.0455957130320589
A1275:250416611	12427	0.0386717121109334
A1276:250416612	19744	0.0614415614322257
A1277:250416613	19523	0.0607538292059027
A1278:250416614	20249	0.0630130762480317
A1279:250416615	16142	0.0502324597163182
A1280:250416616	15610	0.0485769233163008
A1281:250416617	13720	0.0426954124215021
A1286:250416618	14472	0.0450355691373162
A1288:250416619	14885	0.0463207881846981
A1289:250416620	15322	0.0476806930847124
A1291:250416621	24354	0.0757874689586925
A1293:250416622	17029	0.0529927243531894
A1298:250416623	13821	0.0430097153846633
A1304:250416624	7065	0.0219856478686525
A1305:250416625	18270	0.0568546053163879
A1311:250416626	20643	0.064239168995413
A1314:250416627	11780	0.0366583060003859
A1316:250416628	20183	0.0628076901532927
A1317:250416629	24384	0.075880826274483
A1319:250416630	18071	0.0562353351216446
A1320:250416631	16457	0.051212711532118
A1322:250416632	15436	0.0480354508847162
A1323:250416633	13570	0.0422286258425498
A1324:250416634	14961	0.0465572933847006
A1325:250416635	12482	0.0388428671898826
A1326:250416636	22225	0.0691622114480965
A1327:250416637	14975	0.0466008601320695
